Jurisdiction,Active,Recovered,Deaths,Date,Active and Recovered
QLD,0.0,8.0,0,2021-12-02,8
SA,0.0,1.0,0,2021-12-02,1
NT,0.0,0.0,0,2021-12-03,0
VIC,21.0,49.0,5,2021-12-03,70
ACT,0.0,0.0,0,2021-12-03,0
Australia,37.0,76.0,11,2021-12-03,113
QLD,0.0,8.0,0,2021-12-03,8
SA,0.0,1.0,0,2021-12-03,1
TAS,0.0,3.0,2,2021-12-03,3
NSW,16.0,15.0,3,2021-12-03,31
WA,0.0,0.0,1,2021-12-03,0
WA,0.0,0.0,1,2021-12-04,0
TAS,0.0,3.0,2,2021-12-04,3
SA,0.0,1.0,0,2021-12-04,1
VIC,21.0,49.0,5,2021-12-04,70
QLD,0.0,8.0,0,2021-12-04,8
NT,0.0,0.0,0,2021-12-04,0
NSW,16.0,15.0,3,2021-12-04,31
ACT,0.0,0.0,0,2021-12-04,0
Australia,37.0,76.0,11,2021-12-04,113
ACT,0.0,0.0,0,2021-12-05,0
NSW,16.0,15.0,3,2021-12-05,31
WA,0.0,0.0,1,2021-12-05,0
SA,0.0,1.0,0,2021-12-05,1
NT,0.0,0.0,0,2021-12-05,0
QLD,0.0,8.0,0,2021-12-05,8
VIC,21.0,49.0,5,2021-12-05,70
TAS,0.0,3.0,2,2021-12-05,3
Australia,37.0,76.0,11,2021-12-05,113
QLD,0.0,8.0,0,2021-12-06,8
SA,0.0,1.0,0,2021-12-06,1
TAS,0.0,3.0,2,2021-12-06,3
VIC,25.0,49.0,5,2021-12-06,74
WA,0.0,0.0,1,2021-12-06,0
NSW,16.0,15.0,3,2021-12-06,31
ACT,0.0,0.0,0,2021-12-06,0
Australia,41.0,76.0,11,2021-12-06,117
NT,0.0,0.0,0,2021-12-06,0
VIC,30.0,49.0,5,2021-12-07,79
Australia,47.0,76.0,11,2021-12-07,123
ACT,0.0,0.0,0,2021-12-07,0
NT,0.0,0.0,0,2021-12-07,0
QLD,0.0,8.0,0,2021-12-07,8
SA,0.0,1.0,0,2021-12-07,1
TAS,0.0,3.0,2,2021-12-07,3
WA,0.0,0.0,1,2021-12-07,0
NSW,17.0,15.0,3,2021-12-07,32
VIC,31.0,49.0,5,2021-12-08,80
WA,0.0,0.0,1,2021-12-08,0
SA,0.0,1.0,0,2021-12-08,1
QLD,0.0,8.0,0,2021-12-08,8
NT,0.0,0.0,0,2021-12-08,0
NSW,17.0,15.0,3,2021-12-08,32
ACT,0.0,0.0,0,2021-12-08,0
Australia,48.0,76.0,11,2021-12-08,124
TAS,0.0,3.0,2,2021-12-08,3
TAS,0.0,3.0,2,2021-12-09,3
ACT,0.0,0.0,0,2021-12-09,0
Australia,48.0,76.0,11,2021-12-09,124
NSW,18.0,15.0,3,2021-12-09,33
NT,0.0,0.0,0,2021-12-09,0
QLD,0.0,8.0,0,2021-12-09,8
SA,0.0,1.0,0,2021-12-09,1
VIC,31.0,49.0,5,2021-12-09,80
WA,0.0,0.0,1,2021-12-09,0
WA,0.0,0.0,1,2021-12-10,0
VIC,31.0,49.0,5,2021-12-10,80
TAS,0.0,3.0,2,2021-12-10,3
SA,0.0,1.0,0,2021-12-10,1
QLD,0.0,8.0,0,2021-12-10,8
NT,0.0,0.0,0,2021-12-10,0
NSW,17.0,15.0,3,2021-12-10,32
ACT,0.0,0.0,0,2021-12-10,0
Australia,48.0,76.0,11,2021-12-10,124
Australia,48.0,76.0,11,2021-12-11,124
ACT,0.0,0.0,0,2021-12-11,0
NSW,17.0,15.0,3,2021-12-11,32
NT,0.0,0.0,0,2021-12-11,0
QLD,0.0,8.0,0,2021-12-11,8
SA,0.0,1.0,0,2021-12-11,1
WA,0.0,0.0,1,2021-12-11,0
VIC,31.0,49.0,5,2021-12-11,80
TAS,0.0,3.0,2,2021-12-11,3
ACT,0.0,0.0,0,2021-12-12,0
Australia,48.0,76.0,11,2021-12-12,124
NSW,17.0,15.0,3,2021-12-12,32
NT,0.0,0.0,0,2021-12-12,0
QLD,0.0,8.0,0,2021-12-12,8
SA,0.0,1.0,0,2021-12-12,1
